Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,173.228000,-114.300000,270.000000,bottom
C2,0.1uF,C_0805_2012Metric,170.942000,-126.746000,90.000000,bottom
C3,0.1uF,C_0805_2012Metric,151.638000,-124.206000,90.000000,bottom
C5,10uF,C_0805_2012Metric,151.384000,-112.014000,180.000000,bottom
C6,1uF,C_0805_2012Metric,161.798000,-107.442000,180.000000,bottom
C7,22pF,C_0805_2012Metric,180.340000,-121.666000,-0.000000,bottom
C8,22pF,C_0805_2012Metric,180.340000,-118.618000,0.000000,bottom
D1,D,D_SOD-123,11.176000,-44.450000,90.000000,bottom
D2,D,D_SOD-123,45.974000,-45.720000,90.000000,bottom
D3,D,D_SOD-123,65.024000,-45.974000,90.000000,bottom
D4,D,D_SOD-123,84.328000,-45.974000,90.000000,bottom
D5,D,D_SOD-123,103.378000,-45.974000,90.000000,bottom
D6,D,D_SOD-123,122.428000,-44.450000,90.000000,bottom
D7,D,D_SOD-123,141.224000,-45.720000,90.000000,bottom
D8,D,D_SOD-123,160.274000,-45.720000,90.000000,bottom
D9,D,D_SOD-123,179.324000,-45.974000,90.000000,bottom
D10,D,D_SOD-123,198.374000,-45.974000,90.000000,bottom
D11,D,D_SOD-123,217.424000,-45.974000,90.000000,bottom
D12,D,D_SOD-123,236.474000,-45.974000,90.000000,bottom
D13,D,D_SOD-123,255.524000,-45.974000,90.000000,bottom
D14,D,D_SOD-123,284.226000,-45.974000,90.000000,bottom
D15,D,D_SOD-123,322.326000,-45.974000,90.000000,bottom
D16,D,D_SOD-123,31.750000,-65.087500,90.000000,bottom
D17,D,D_SOD-123,55.562500,-65.087500,90.000000,bottom
D18,D,D_SOD-123,74.612500,-65.087500,90.000000,bottom
D19,D,D_SOD-123,93.662500,-65.087500,90.000000,bottom
D20,D,D_SOD-123,112.712500,-65.087500,90.000000,bottom
D21,D,D_SOD-123,131.762500,-65.087500,90.000000,bottom
D22,D,D_SOD-123,150.812500,-65.087500,90.000000,bottom
D23,D,D_SOD-123,169.862500,-65.087500,90.000000,bottom
D24,D,D_SOD-123,188.912500,-65.087500,90.000000,bottom
D25,D,D_SOD-123,207.962500,-65.087500,90.000000,bottom
D26,D,D_SOD-123,227.012500,-65.087500,90.000000,bottom
D27,D,D_SOD-123,246.062500,-65.087500,90.000000,bottom
D28,D,D_SOD-123,265.112500,-65.087500,90.000000,bottom
D29,D,D_SOD-123,288.925000,-65.087500,90.000000,bottom
D30,D,D_SOD-123,322.262500,-65.087500,90.000000,bottom
D31,D,D_SOD-123,34.131250,-84.137500,90.000000,bottom
D32,D,D_SOD-123,60.325000,-84.137500,90.000000,bottom
D33,D,D_SOD-123,79.375000,-84.137500,90.000000,bottom
D34,D,D_SOD-123,98.425000,-84.137500,90.000000,bottom
D35,D,D_SOD-123,117.475000,-84.137500,90.000000,bottom
D36,D,D_SOD-123,136.525000,-84.137500,90.000000,bottom
D37,D,D_SOD-123,155.575000,-84.137500,90.000000,bottom
D38,D,D_SOD-123,174.625000,-84.137500,90.000000,bottom
D39,D,D_SOD-123,193.675000,-84.137500,90.000000,bottom
D40,D,D_SOD-123,212.725000,-84.137500,90.000000,bottom
D41,D,D_SOD-123,231.775000,-84.137500,90.000000,bottom
D42,D,D_SOD-123,250.825000,-84.137500,90.000000,bottom
D43,D,D_SOD-123,281.781250,-84.137500,90.000000,bottom
D44,D,D_SOD-123,38.893750,-103.187500,90.000000,bottom
D45,D,D_SOD-123,69.850000,-103.187500,90.000000,bottom
D46,D,D_SOD-123,88.900000,-103.187500,90.000000,bottom
D47,D,D_SOD-123,107.950000,-103.187500,90.000000,bottom
D48,D,D_SOD-123,127.000000,-103.187500,90.000000,bottom
D49,D,D_SOD-123,130.175000,-103.187500,90.000000,bottom
D50,D,D_SOD-123,165.100000,-103.187500,90.000000,bottom
D51,D,D_SOD-123,184.150000,-103.187500,90.000000,bottom
D52,D,D_SOD-123,203.200000,-103.187500,90.000000,bottom
D53,D,D_SOD-123,222.250000,-103.187500,90.000000,bottom
D54,D,D_SOD-123,241.300000,-103.187500,90.000000,bottom
D55,D,D_SOD-123,272.256250,-103.187500,90.000000,bottom
D56,D,D_SOD-123,303.212500,-103.187500,90.000000,bottom
D57,D,D_SOD-123,29.368750,-122.237500,90.000000,bottom
D58,D,D_SOD-123,50.800000,-122.237500,90.000000,bottom
D59,D,D_SOD-123,72.231250,-122.237500,90.000000,bottom
D60,D,D_SOD-123,143.668750,-122.237500,90.000000,bottom
D61,D,D_SOD-123,215.106250,-122.237500,90.000000,bottom
D62,D,D_SOD-123,238.918750,-122.237500,90.000000,bottom
D63,D,D_SOD-123,262.731250,-122.237500,90.000000,bottom
D64,D,D_SOD-123,284.162500,-122.237500,90.000000,bottom
D65,D,D_SOD-123,303.212500,-122.237500,90.000000,bottom
D66,D,D_SOD-123,322.262500,-122.237500,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,22.606000,-49.784000,90.000000,bottom
FB1,60@100Mhz,L_0805_2012Metric,35.877500,-36.131500,180.000000,bottom
R1,10k,R_0805_2012Metric,106.172000,-122.936000,-0.000000,bottom
R2,22,R_0805_2012Metric,155.448000,-106.680000,180.000000,bottom
R3,22,R_0805_2012Metric,155.448000,-108.966000,180.000000,bottom
R4,10k,R_0805_2012Metric,152.146000,-127.762000,-0.000000,bottom
R5,5.1k,R_0805_2012Metric,30.956250,-42.068750,180.000000,bottom
R6,5.1k,R_0805_2012Metric,25.400000,-42.068750,-0.000000,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,99.060000,-120.904000,180.000000,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,161.036000,-120.142000,270.000000,bottom
U2,PRTR5V0U2X,SOT143B,28.448000,-47.752000,-0.000000,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,28.575000,-29.464000,0.000000,bottom